time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-08-17T19:19:34.267Z,-10.282,118.7062,10,4.3,mb,,108,3.848,0.83,us,us7000f4tw,2021-10-29T14:47:03.040Z,"184 km WSW of Waingapu, Indonesia",earthquake,5.7,1.8,0.239,5,reviewed,us,us
2021-08-10T23:22:26.291Z,-19.7392,113.0624,10,4.4,mb,,142,3.089,0.55,us,us6000f8e8,2021-10-23T15:46:52.040Z,"266 km NNW of Exmouth, Australia",earthquake,8.1,1.9,0.123,19,reviewed,us,us
2021-06-29T02:17:21.567Z,-18.4234,120.4944,10,4.4,mb,,96,2.814,0.79,us,us7000eia2,2021-09-09T22:06:45.040Z,"188 km WSW of Cable Beach, Australia",earthquake,6.2,1.9,0.202,7,reviewed,us,us
2021-06-28T01:56:37.517Z,-10.4538,124.0128,10,5,mww,,44,0.737,1.18,us,us6000eqe3,2021-09-09T22:05:31.040Z,"54 km SE of Kupang, Indonesia",earthquake,4.9,0.7,0.093,11,reviewed,us,us
2021-06-26T22:12:16.459Z,-23.0013,113.9164,13.77,4.5,mb,,121,0.461,0.65,us,us6000eq2y,2022-07-26T01:34:37.718Z,"120 km S of Exmouth, Australia",earthquake,4.7,4.6,0.107,26,reviewed,us,us
2021-06-24T18:30:26.098Z,-31.4524,141.6855,10,4.3,mb,,63,0.428,1,us,us6000eqvj,2021-08-27T18:58:55.040Z,"New South Wales, Australia",earthquake,5.2,1.3,0.217,6,reviewed,us,us
2021-06-24T06:57:03.114Z,-18.203,120.3066,10,5.1,mww,,30,2.99,0.46,us,us6000ep9i,2021-08-27T18:58:48.040Z,"203 km W of Cable Beach, Australia",earthquake,5.6,1.8,0.086,13,reviewed,us,us
2021-06-21T00:34:05.428Z,-10.6864,119.3652,10,4.5,mb,,102,3.489,1.05,us,us6000eppc,2021-08-27T18:57:57.040Z,"150 km SW of Waingapu, Indonesia",earthquake,4.4,1.9,0.271,4,reviewed,us,us
2021-06-15T21:22:40.127Z,-11.0465,124.453,10,4.1,mb,,81,1.296,0.77,us,us7000ee5n,2021-08-26T21:59:24.040Z,"132 km S of Soe, Indonesia",earthquake,7.2,2,0.301,5,reviewed,us,us
2021-06-15T07:30:11.090Z,-11.3459,118.4285,10,4.1,mb,,105,5.09,0.32,us,us7000ee5d,2021-08-26T21:59:21.040Z,"274 km SW of Waingapu, Indonesia",earthquake,8.2,2,0.261,4,reviewed,us,us
2021-06-12T18:16:49.744Z,-11.4041,118.4339,10,4.3,mb,,94,4.647,1.15,us,us7000edtf,2021-08-26T21:59:11.040Z,"278 km SW of Waingapu, Indonesia",earthquake,4.7,1.9,0.138,15,reviewed,us,us
2021-06-07T08:03:18.354Z,-22.6031,120.1072,10,4.4,mb,,53,1.479,0.47,us,us7000ean4,2021-08-24T21:34:38.040Z,"78 km S of Nullagine, Australia",earthquake,7,1.9,0.117,23,reviewed,us,us
2021-06-05T04:05:50.496Z,-11.2857,119.6147,10,4.3,mb,,64,3.689,1.24,us,us7000e9wt,2021-08-24T21:35:37.040Z,"193 km SSW of Waingapu, Indonesia",earthquake,8.4,2,0.218,7,reviewed,us,us
2021-06-02T14:28:33.002Z,-11.611,116.8552,10,4.3,mb,,111,4.102,0.51,us,us7000earj,2021-08-07T22:07:14.040Z,"South of Lombok, Indonesia",earthquake,8.2,1.9,0.119,20,reviewed,us,us
2021-05-29T18:29:44.207Z,-10.344,153.2429,10,4.5,mb,,70,6.066,1.21,us,us7000e918,2021-08-07T22:06:04.040Z,"284 km E of Samarai, Papua New Guinea",earthquake,8.4,1.9,0.125,26,reviewed,us,us
2021-05-09T09:42:47.905Z,-10.8687,114.9916,10,4.6,mb,,111,2.523,0.82,us,us7000e1jn,2021-07-23T18:08:25.040Z,"230 km S of Nusa Dua, Indonesia",earthquake,6.7,1.4,0.097,32,reviewed,us,us
2021-05-09T09:19:19.359Z,-14.0224,121.8096,10,4.2,mb,,82,4.875,1,us,us7000e33g,2021-07-23T18:08:44.040Z,"northwest of Australia",earthquake,8.1,1.9,0.215,6,reviewed,us,us
2021-05-07T13:17:10.753Z,-10.7858,121.9086,10,4.3,mb,,75,2.161,0.48,us,us7000e11i,2021-07-23T18:08:17.040Z,"197 km WSW of Kupang, Indonesia",earthquake,6,1.9,0.13,17,reviewed,us,us
2021-04-24T19:21:01.696Z,-11.5728,117.6784,10,4.1,mb,,100,4.643,0.92,us,us7000dylq,2021-07-07T18:34:38.040Z,"south of Sumbawa, Indonesia",earthquake,8.1,2,0.234,5,reviewed,us,us
2021-04-22T00:11:11.888Z,-10.2946,153.1935,10,4.6,mb,,62,6.011,0.65,us,us7000dy93,2021-07-03T16:50:01.040Z,"279 km E of Samarai, Papua New Guinea",earthquake,9.1,1.9,0.114,23,reviewed,us,us
